First_pokemon_id,Second_pokemon_id,Winner,Name_first,Type 1_first,Type 2_first,HP_first,Attack_first,Defense_first,Sp. Atk_first,Sp. Def_first,Speed_first,Generation_first,Legendary_first,height_first,weight_first,base_experience_first,Name_second,Type 1_second,Type 2_second,HP_second,Attack_second,Defense_second,Sp. Atk_second,Sp. Def_second,Speed_second,Generation_second,Legendary_second,height_second,weight_second,base_experience_second
266,298,298,Larvitar,Rock,Ground,50,64,50,45,50,41,2,False,6,720,60,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False,10,280,119
702,701,701,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True,20,2000,261,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,19,2600,261
191,668,668,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,6,32,142,Beheeyem,Psychic,Normal,75,75,75,125,95,40,5,False,10,345,170
237,683,683,Slugma,Fire,Normal,40,40,40,70,40,20,2,False,7,350,50,Druddigon,Dragon,Normal,77,120,90,60,90,48,5,False,16,1390,170
151,231,151,Omastar,Rock,Water,70,60,125,115,70,55,1,False,10,350,173,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,6,205,177
192,134,134,Natu,Psychic,Flying,40,50,45,70,45,70,2,False,2,20,64,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,14,406,159
220,763,763,Pineco,Bug,Normal,50,65,90,35,35,15,2,False,6,72,58,Clauncher,Water,Normal,50,53,62,58,63,44,6,False,5,83,66
302,31,31,Wingull,Water,Flying,40,30,30,55,30,85,3,False,6,95,54,Pikachu,Electric,Normal,35,55,40,50,50,90,1,False,4,60,112
442,130,130,Starly,Normal,Flying,40,55,30,30,30,60,4,False,3,20,49,Staryu,Water,Normal,30,45,55,70,55,85,1,False,8,345,68
701,624,701,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,19,2600,261,Yamask,Ghost,Normal,38,30,85,55,65,30,5,False,5,15,61
15,283,283,Metapod,Bug,Normal,50,20,55,25,25,30,1,False,7,99,72,Swampert,Water,Ground,100,110,90,85,90,60,3,False,15,819,241
