Legendary_first,Legendary_second,first_winner,HP_diff,Attack_diff,Defense_diff,Sp_Atk_diff,Sp_Def_diff,Height_diff,Weight_diff,Experience_diff,Normal_first,Fire_first,Water_first,Grass_first,Flying_first,Fighting_first,Poison_first,Electric_first,Ground_first,Rock_first,Psychic_first,Ice_first,Bug_first,Ghost_first,Steel_first,Dragon_first,Dark_first,Fairy_first,Normal_second,Fire_second,Water_second,Grass_second,Flying_second,Fighting_second,Poison_second,Electric_second,Ground_second,Rock_second,Psychic_second,Ice_second,Bug_second,Ghost_second,Steel_second,Dragon_second,Dark_second,Fairy_second,First_pokemon_attacks_first,Second_pokemon_attacks_first
0,0,0,0.45555555555555555,0.4557377049180328,0.533175355450237,0.44014084507042256,0.5218446601941747,0.4842105263157895,0.5234082890094266,0.4473916887709991,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0.5,0.3475409836065574,0.466824644549763,0.5563380281690141,0.5922330097087378,0.5017543859649123,0.4686397387961452,0.4995579133510168,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0.45555555555555555,0.360655737704918,0.533175355450237,0.3345070422535211,0.5218446601941747,0.4842105263157895,0.4837537521723103,0.47480106100795755,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0.4177777777777778,0.21311475409836061,0.3909952606635071,0.528169014084507,0.37621359223300965,0.4666666666666667,0.44546842909052614,0.39345711759504864,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0.6111111111111112,0.6393442622950819,0.2606635071090047,0.8626760563380282,0.1092233009708738,0.512280701754386,0.5078729790931592,0.4960212201591512,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0.4444444444444444,0.47540983606557374,0.533175355450237,0.3345070422535211,0.37621359223300965,0.45614035087719296,0.4799094212438781,0.41556145004420864,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0.5,0.5147540983606557,0.5758293838862559,0.4119718309859155,0.4296116504854368,0.5017543859649123,0.49965769656116704,0.49248452696728556,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.5111111111111111,0.39344262295081966,0.485781990521327,0.5105633802816901,0.4490291262135922,0.5052631578947369,0.5020801516667545,0.4482758620689655,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.5222222222222223,0.5081967213114754,0.45023696682464454,0.352112676056338,0.4368932038834951,0.4807017543859649,0.4831218073621571,0.48275862068965514,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0.6177777777777778,0.8,0.5213270142180094,0.5528169014084507,0.558252427184466,0.5473684210526316,0.6363684238243194,0.676392572944297,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0.3888888888888889,0.180327868852459,0.42654028436018954,0.28169014084507044,0.3398058252427184,0.47017543859649125,0.4623202906946127,0.35013262599469497,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0.4444444444444444,0.4262295081967213,0.5450236966824644,0.545774647887324,0.47330097087378636,0.47719298245614034,0.4773289799357523,0.5004420866489832,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0.44,0.37049180327868847,0.5355450236966824,0.5035211267605634,0.5266990291262136,0.4807017543859649,0.491179103691611,0.4394341290893015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0.5888888888888889,0.47540983606557374,0.5213270142180094,0.38732394366197187,0.48543689320388345,0.519298245614035,0.5223550476591712,0.43412908930150307,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.37777777777777777,0.2786885245901639,0.46208530805687204,0.4225352112676056,0.5339805825242718,0.47368421052631576,0.4714834904418348,0.4146772767462423,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0,0,1,0.4533333333333333,0.6229508196721312,0.509478672985782,0.4964788732394366,0.4368932038834951,0.512280701754386,0.5181947443256623,0.5596816976127321,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0.49777777777777776,0.28196721311475403,0.43364928909952605,0.5669014084507042,0.5121359223300971,0.47017543859649125,0.47548580757280534,0.47303271441202477,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0.5577777777777778,0.4491803278688524,0.47393364928909953,0.36971830985915494,0.424757281553398,0.47017543859649125,0.4681657801885302,0.4332449160035367,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0.4888888888888889,0.4262295081967213,0.4146919431279621,0.2112676056338028,0.48543689320388345,0.5052631578947369,0.4995523724261415,0.3519009725906278,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0.4777777777777778,0.34426229508196715,0.485781990521327,0.47535211267605637,0.47330097087378636,0.5017543859649123,0.5010795723840118,0.41644562334217505,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0.5133333333333333,0.2786885245901639,0.533175355450237,0.38732394366197187,0.6286407766990291,0.5789473684210527,0.4323029122123335,0.4995579133510168,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0.4911111111111111,0.43934426229508194,0.5710900473933649,0.5211267605633803,0.49757281553398053,0.49473684210526314,0.4952340828900943,0.4986737400530504,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0.4888888888888889,0.40983606557377045,0.54739336492891,0.29929577464788737,0.4757281553398058,0.4982456140350877,0.524672178629733,0.4438549955791335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0.49333333333333335,0.6885245901639344,0.4146919431279621,0.36971830985915494,0.37621359223300965,0.543859649122807,0.5534783295592185,0.41379310344827586,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.4888888888888889,0.3114754098360656,0.485781990521327,0.5105633802816901,0.6432038834951456,0.5228070175438596,0.5085575859708252,0.48010610079575594,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.4777777777777778,0.4262295081967213,0.45023696682464454,0.6161971830985915,0.5097087378640777,0.4631578947368421,0.4652167044078151,0.4182139699381079,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.43333333333333335,0.3114754098360656,0.3601895734597156,0.49295774647887325,0.4368932038834951,0.47017543859649125,0.4755911317078309,0.41114058355437666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0.5266666666666666,0.6229508196721312,0.5781990521327014,0.5105633802816901,0.5679611650485437,0.5052631578947369,0.49723524145557957,0.5119363395225464,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0.45111111111111113,0.40983606557377045,0.556872037914692,0.22887323943661975,0.424757281553398,0.47017543859649125,0.4834377797672337,0.4615384615384615,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,0,0,0.5222222222222223,0.4426229508196721,0.518957345971564,0.38732394366197187,0.5072815533980582,0.49473684210526314,0.5000263310337564,0.4916003536693192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.5333333333333333,0.4426229508196721,0.5450236966824644,0.39084507042253525,0.48543689320388345,0.48771929824561405,0.4950234346200432,0.493368700265252,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0.5977777777777777,0.43934426229508194,0.5450236966824644,0.5352112676056338,0.5825242718446602,0.512280701754386,0.5105060824687978,0.6109637488947833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0.4444444444444444,0.33442622950819667,0.5047393364928909,0.29929577464788737,0.4611650485436893,0.47719298245614034,0.495760703565222,0.4005305039787799,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.42444444444444446,0.43934426229508194,0.3838862559241706,0.3485915492957746,0.3252427184466019,0.4631578947368421,0.4578440149560272,0.3412908930150309,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0.5088888888888888,0.4426229508196721,0.485781990521327,0.5105633802816901,0.4490291262135922,0.47719298245614034,0.4833851176997209,0.4367816091954023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,0.4222222222222222,0.4950819672131147,0.447867298578199,0.38380281690140844,0.4635922330097087,0.47368421052631576,0.4570014218758229,0.43412908930150307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0.4866666666666667,0.521311475409836,0.5355450236966824,0.4612676056338028,0.5800970873786407,0.5157894736842106,0.50997946179367,0.5517241379310345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0.45555555555555555,0.6852459016393442,0.7109004739336493,0.5985915492957746,0.6432038834951456,0.5578947368421052,0.6605929748801939,0.6242263483642794,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0.25555555555555554,0.29508196721311475,0.9123222748815166,0.1408450704225352,0.8252427184466018,0.4842105263157895,0.495760703565222,0.493368700265252,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.4666666666666667,0.36721311475409835,0.7014218009478673,0.3943661971830986,0.5776699029126213,0.49122807017543857,0.5189846753383538,0.4969053934571176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0.49777777777777776,0.7311475409836066,0.6706161137440758,0.4964788732394366,0.49999999999999994,0.5929824561403508,0.9923640002106483,0.623342175066313,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,0.5044444444444445,0.34426229508196715,0.4312796208530806,0.6161971830985915,0.5097087378640777,0.4982456140350877,0.4997103586286798,0.4986737400530504,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0.43333333333333335,0.5573770491803278,0.485781990521327,0.28169014084507044,0.4004854368932038,0.49473684210526314,0.5036600136921376,0.41909814323607425,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.47333333333333333,0.35737704918032787,0.44549763033175355,0.4225352112676056,0.4368932038834951,0.48771929824561405,0.4775922902733162,0.41290893015030944,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
